"REPORT_DATE","CCY1","CCY2","RATE_TYPE","BUY_RATE","SELL_RATE","MID_RATE","AVG_RATE"
2025-02-16 00:00:00.000,XAU,VND,STANDARD,888000,888000,888000,0
2025-02-15 00:00:00.000,XAU,VND,STANDARD,888000,888000,888000,0
2025-02-14 00:00:00.000,XAU,VND,STANDARD,897000,897000,897000,0
2025-02-13 00:00:00.000,XAU,VND,STANDARD,890000,890000,890000,0
2025-02-12 00:00:00.000,XAU,VND,STANDARD,890500,890500,890500,0
2025-02-11 00:00:00.000,XAU,VND,STANDARD,900500,900500,900500,0
2025-02-10 00:00:00.000,XAU,VND,STANDARD,856000,856000,856000,0
2025-02-09 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2025-02-08 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2025-02-07 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2025-02-06 00:00:00.000,XAU,VND,STANDARD,890000,890000,890000,0
2025-02-05 00:00:00.000,XAU,VND,STANDARD,881000,881000,881000,0
2025-02-04 00:00:00.000,XAU,VND,STANDARD,888000,888000,888000,0
2025-02-03 00:00:00.000,XAU,VND,STANDARD,878000,878000,878000,0
2025-02-02 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-02-01 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-31 00:00:00.000,XAU,VND,STANDARD,870000,870000,850000,0
2025-01-30 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-29 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-28 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-27 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-26 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-25 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-24 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-23 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-22 00:00:00.000,XAU,VND,STANDARD,870000,870000,870000,0
2025-01-21 00:00:00.000,XAU,VND,STANDARD,863000,863000,863000,0
2025-01-20 00:00:00.000,XAU,VND,STANDARD,863000,863000,863000,0
2025-01-19 00:00:00.000,XAU,VND,STANDARD,863000,863000,863000,0
2025-01-18 00:00:00.000,XAU,VND,STANDARD,863000,863000,863000,0
2025-01-17 00:00:00.000,XAU,VND,STANDARD,863000,863000,863000,0
2025-01-16 00:00:00.000,XAU,VND,STANDARD,860000,860000,860000,0
2025-01-15 00:00:00.000,XAU,VND,STANDARD,854000,854000,854000,0
2025-01-14 00:00:00.000,XAU,VND,STANDARD,858000,858000,858000,0
2025-01-13 00:00:00.000,XAU,VND,STANDARD,858000,858000,858000,0
2025-01-12 00:00:00.000,XAU,VND,STANDARD,854500,854500,854500,0
2025-01-11 00:00:00.000,XAU,VND,STANDARD,854500,854500,854500,0
2025-01-10 00:00:00.000,XAU,VND,STANDARD,857500,857500,857500,0
2025-01-09 00:00:00.000,XAU,VND,STANDARD,847500,847500,847500,0
2025-01-08 00:00:00.000,XAU,VND,STANDARD,847500,847500,847500,0
2025-01-07 00:00:00.000,XAU,VND,STANDARD,842500,842500,842500,0
2025-01-06 00:00:00.000,XAU,VND,STANDARD,842500,842500,842500,0
2025-01-05 00:00:00.000,XAU,VND,STANDARD,832500,832500,832500,0
2025-01-04 00:00:00.000,XAU,VND,STANDARD,832500,832500,832500,0
2025-01-03 00:00:00.000,XAU,VND,STANDARD,832500,832500,832500,0
2025-01-02 00:00:00.000,XAU,VND,STANDARD,832000,832000,832000,0
2025-01-01 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-12-31 00:00:00.000,XAU,VND,STANDARD,835000,835000,850000,0
2024-12-30 00:00:00.000,XAU,VND,STANDARD,837000,837000,837000,0
2024-12-29 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-28 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-27 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-26 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-25 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-24 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-23 00:00:00.000,XAU,VND,STANDARD,841000,841000,841000,0
2024-12-22 00:00:00.000,XAU,VND,STANDARD,840500,840500,840500,0
2024-12-21 00:00:00.000,XAU,VND,STANDARD,840500,840500,840500,0
2024-12-20 00:00:00.000,XAU,VND,STANDARD,840500,840500,840500,0
2024-12-19 00:00:00.000,XAU,VND,STANDARD,841000,841000,841000,0
2024-12-18 00:00:00.000,XAU,VND,STANDARD,841000,841000,841000,0
2024-12-17 00:00:00.000,XAU,VND,STANDARD,838500,838500,838500,0
2024-12-16 00:00:00.000,XAU,VND,STANDARD,850500,850500,850500,0
2024-12-15 00:00:00.000,XAU,VND,STANDARD,860000,860000,860000,0
2024-12-14 00:00:00.000,XAU,VND,STANDARD,860000,860000,860000,0
2024-12-13 00:00:00.000,XAU,VND,STANDARD,861000,861000,861000,0
2024-12-12 00:00:00.000,XAU,VND,STANDARD,859000,859000,859000,0
2024-12-11 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-10 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-09 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-08 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-07 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-06 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-05 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-04 00:00:00.000,XAU,VND,STANDARD,845000,845000,845000,0
2024-12-03 00:00:00.000,XAU,VND,STANDARD,843000,843000,843000,0
2024-12-02 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-12-01 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-11-30 00:00:00.000,XAU,VND,STANDARD,840000,840000,850000,0
2024-11-29 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-11-28 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-11-27 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-11-26 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-11-25 00:00:00.000,XAU,VND,STANDARD,860000,860000,860000,0
2024-11-24 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-11-23 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-11-22 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-11-21 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-11-20 00:00:00.000,XAU,VND,STANDARD,837500,837500,837500,0
2024-11-19 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-11-18 00:00:00.000,XAU,VND,STANDARD,820000,820000,820000,0
2024-11-17 00:00:00.000,XAU,VND,STANDARD,815000,815000,815000,0
2024-11-16 00:00:00.000,XAU,VND,STANDARD,815000,815000,815000,0
2024-11-15 00:00:00.000,XAU,VND,STANDARD,815000,815000,815000,0
2024-11-14 00:00:00.000,XAU,VND,STANDARD,815000,815000,815000,0
2024-11-13 00:00:00.000,XAU,VND,STANDARD,820000,820000,820000,0
2024-11-12 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-11-11 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-11-10 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-11-09 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-11-08 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-11-07 00:00:00.000,XAU,VND,STANDARD,865000,865000,865000,0
2024-11-06 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-11-05 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-11-04 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-11-03 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-11-02 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-11-01 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-31 00:00:00.000,XAU,VND,STANDARD,880000,880000,850000,0
2024-10-30 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-29 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-28 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-27 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-26 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-25 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-24 00:00:00.000,XAU,VND,STANDARD,880000,880000,880000,0
2024-10-23 00:00:00.000,XAU,VND,STANDARD,890000,890000,890000,0
2024-10-22 00:00:00.000,XAU,VND,STANDARD,875000,875000,875000,0
2024-10-21 00:00:00.000,XAU,VND,STANDARD,872500,872500,872500,0
2024-10-20 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-10-19 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-10-18 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-10-17 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-10-16 00:00:00.000,XAU,VND,STANDARD,850000,850000,850000,0
2024-10-15 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-14 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-13 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-12 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-11 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-10 00:00:00.000,XAU,VND,STANDARD,835000,835000,835000,0
2024-10-09 00:00:00.000,XAU,VND,STANDARD,840000,840000,840000,0
2024-10-08 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-07 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-06 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-05 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-04 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-03 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-02 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-10-01 00:00:00.000,XAU,VND,STANDARD,830000,830000,830000,0
2024-09-30 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-29 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-28 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-27 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-26 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-25 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-24 00:00:00.000,XAU,VND,STANDARD,825000,825000,825000,0
2024-09-23 00:00:00.000,XAU,VND,STANDARD,810000,810000,810000,0
2024-09-22 00:00:00.000,XAU,VND,STANDARD,810000,810000,810000,0
2024-09-21 00:00:00.000,XAU,VND,STANDARD,810000,810000,810000,0
2024-09-20 00:00:00.000,XAU,VND,STANDARD,809824,809824,809824,0
2024-09-19 00:00:00.000,XAU,VND,STANDARD,808000,808000,808000,0
2024-09-18 00:00:00.000,XAU,VND,STANDARD,810000,810000,810000,0
2024-09-17 00:00:00.000,XAU,VND,STANDARD,810000,810000,810000,0
2024-09-16 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-15 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-14 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-13 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-12 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-11 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-10 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-09 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-08 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-07 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-06 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-05 00:00:00.000,XAU,VND,STANDARD,795000,795000,795000,0
2024-09-04 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-09-03 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-09-02 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-09-01 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-31 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-30 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-29 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-28 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-27 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-26 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-25 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-24 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-23 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-22 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-21 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-20 00:00:00.000,XAU,VND,STANDARD,800000,800000,800000,0
2024-08-19 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-18 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-17 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-16 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-15 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-14 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-13 00:00:00.000,XAU,VND,STANDARD,790000,790000,790000,0
2024-08-12 00:00:00.000,XAU,VND,STANDARD,775000,775000,775000,0
2024-08-11 00:00:00.000,XAU,VND,STANDARD,775000,775000,775000,0
2024-08-10 00:00:00.000,XAU,VND,STANDARD,775000,775000,775000,0
2024-08-09 00:00:00.000,XAU,VND,STANDARD,775000,775000,775000,0
2024-08-08 00:00:00.000,XAU,VND,STANDARD,775000,775000,775000,0
2024-08-07 00:00:00.000,XAU,VND,STANDARD,780000,780000,780000,0
2024-08-06 00:00:00.000,XAU,VND,STANDARD,780000,780000,780000,0
2024-08-05 00:00:00.000,XAU,VND,STANDARD,790500,790500,790500,0
2024-08-04 00:00:00.000,XAU,VND,STANDARD,790500,790500,790500,0
2024-08-03 00:00:00.000,XAU,VND,STANDARD,790500,790500,790500,0
2024-08-02 00:00:00.000,XAU,VND,STANDARD,789607,789607,789607,0
2024-08-01 00:00:00.000,XAU,VND,STANDARD,788000,788000,788000,0
2024-07-31 00:00:00.000,XAU,VND,STANDARD,780000,780000,780000,0
2024-07-30 00:00:00.000,XAU,VND,STANDARD,780000,780000,780000,0
2024-07-29 00:00:00.000,XAU,VND,STANDARD,785000,785000,785000,0
2024-07-28 00:00:00.000,XAU,VND,STANDARD,785000,785000,785000,0
