Sales_ID,Date_ID,Customer_ID,Product_ID,Store_ID,SoLuong,DonGiaBan,ThanhTien,GiaVon
1,20250625,CUST_192,FP3050,ST002,41,16500,682163.9530093699,10000
2,20250215,CUST_020,FP3006,ST002,41,19500,806193.7626474372,13000
3,20250612,CUST_021,FP3032,ST004,52,27500,1429592.8310671218,17000
4,20250507,CUST_261,FP3032,ST008,126,27500,3454156.611102112,17000
5,20250215,CUST_186,FP3048,ST003,57,13000,745590.1396180203,8000
6,20250331,CUST_180,FP3024,ST016,473,17000,8045600.5149904275,12500
7,20250628,CUST_255,FP3039,ST005,32,10000,324653.3503677082,6000
8,20250424,CUST_157,FP3004,ST008,63,17000,1067648.4070679257,10000
9,20250210,CUST_197,FP3035,ST028,429,6500,2787392.808796863,5000
10,20250118,CUST_272,FP3003,ST008,126,20000,2512113.898983354,13500
11,20250219,CUST_058,FP3009,ST001,243,34000,8253456.496474082,21500
12,20250202,CUST_228,FP3039,ST003,57,10000,573530.8766292464,6000
13,20250104,CUST_187,FP3042,ST023,546,42500,23207289.323969573,29000
14,20250317,CUST_100,FP3019,ST001,121,30500,3701917.98738911,21500
15,20250426,CUST_111,FP3007,ST001,121,22000,2670235.92532985,17000
16,20250522,CUST_275,FP3002,ST003,57,12000,688237.0519550956,8000
17,20250306,CUST_165,FP3017,ST007,195,49500,9654787.188990712,31000
18,20250422,CUST_179,FP3011,ST003,57,23500,1347797.560078729,17000
19,20250626,CUST_155,FP3047,ST003,57,15000,860296.3149438696,10500
20,20250127,CUST_150,FP3013,ST008,126,12500,1570071.1868645963,8000
21,20250508,CUST_136,FP3017,ST002,165,49500,8185967.436112439,31000
22,20250410,CUST_147,FP3018,ST009,32,42500,1344487.757812546,25500
23,20250505,CUST_057,FP3005,ST001,182,25000,4551538.509084972,15500
24,20250517,CUST_249,FP3032,ST007,49,27500,1340942.6651375988,17000
25,20250604,CUST_087,FP3046,ST015,626,12000,7509956.287191562,7000
26,20250623,CUST_221,FP3050,ST001,61,16500,1001338.4719986938,10000
27,20250525,CUST_201,FP3039,ST006,33,10000,325923.76744627976,6000
28,20250620,CUST_088,FP3015,ST006,130,5500,717032.2883818155,4000
29,20250319,CUST_265,FP3041,ST005,32,50500,1639499.4193569263,34000
30,20250308,CUST_191,FP3008,ST006,98,32500,3177756.7326012277,23000
31,20250613,CUST_272,FP3020,ST004,52,14500,753785.3109263006,10500
32,20250331,CUST_088,FP3037,ST007,98,7500,731423.2718932357,4500
33,20250305,CUST_185,FP3050,ST001,121,16500,2002676.9439973875,10000
34,20250227,CUST_161,FP3028,ST006,130,46000,5996997.321011548,33500
35,20250427,CUST_138,FP3045,ST010,41,13500,548316.7489283545,8500
36,20250604,CUST_274,FP3021,ST006,33,16000,521478.02791404765,10500
37,20250603,CUST_038,FP3017,ST002,83,49500,4092983.7180562196,31000
38,20250621,CUST_206,FP3001,ST030,613,11500,7049329.928364384,7000
39,20250105,CUST_033,FP3022,ST002,124,18500,2294551.478304244,11500
40,20250616,CUST_015,FP3028,ST009,158,46000,7276051.395220838,33500
41,20250311,CUST_061,FP3013,ST022,146,12500,1823373.978165925,8000
42,20250104,CUST_099,FP3001,ST004,156,11500,1793489.1880660257,7000
43,20250406,CUST_218,FP3031,ST001,182,38500,7009369.303990856,24500
44,20250628,CUST_033,FP3030,ST010,81,51500,4183453.7140459633,35000
45,20250225,CUST_293,FP3002,ST002,207,12000,2480596.1927613453,8000
46,20250104,CUST_224,FP3014,ST005,32,8500,275955.34781255195,5500
47,20250125,CUST_300,FP3006,ST006,65,19500,1271102.693040491,13000
48,20250328,CUST_032,FP3036,ST027,196,10000,1962522.198661415,7500
49,20250630,CUST_198,FP3034,ST006,33,12500,407404.7093078497,7500
50,20250216,CUST_004,FP3012,ST021,158,23000,3624275.7149543087,14000
51,20250524,CUST_012,FP3038,ST007,49,11500,560757.841784814,7000
52,20250218,CUST_292,FP3003,ST008,63,20000,1256056.949491677,13500
53,20250503,CUST_176,FP3039,ST010,41,10000,406160.55476174405,6000
54,20250101,CUST_082,FP3023,ST020,396,13500,5345276.543846795,8500
55,20250519,CUST_119,FP3009,ST008,63,34000,2135296.8141358513,21500
56,20250517,CUST_193,FP3046,ST014,367,12000,4406572.560305013,7000
57,20250423,CUST_233,FP3036,ST007,146,10000,1462846.5437864715,7500
58,20250524,CUST_220,FP3028,ST001,121,46000,5583220.571144232,33500
59,20250509,CUST_121,FP3032,ST002,41,27500,1136939.9216822833,17000
60,20250422,CUST_212,FP3039,ST002,41,10000,413432.69879355753,6000
61,20250220,CUST_280,FP3043,ST003,57,13500,774266.6834494825,9000
62,20250517,CUST_131,FP3016,ST005,65,6000,389584.0204412498,4500
